NodeCount,AllTheWay_MessageCount,AsFarAs_MessageCount,AsFarAsBi_MessageCount,ContDist_MessageCount,Stages_MessageCount,AltSteps_MessageCount,AllTheWay_Seconds,AsFarAs_Seconds,AsFarAsBi_Seconds,ContDist_Seconds,Stages_Seconds,AltSteps_Seconds
3,9,9,12,28,15,9,0.4048648,0.5000594,0.3999692,0.8030562,0.6010232,0.5009824
4,16,12,18,32,28,16,0.6999957,0.7008939,0.6040423,0.7049601,1.0001367,1.0009207
5,25,17,20,60,35,20,0.8010863,0.7020281,0.6020535,1.3050325,1.0030107,0.9030093
6,36,20,29,67,42,24,0.7070488,0.9020204,0.6079889,1.5069867,1.100059,1.0010018
7,49,26,35,69,49,35,1.101083,0.8999919,0.8020107,1.6040969,1.3040026,1.5030294
8,64,28,44,86,56,40,0.9060876,0.8029138,0.8040232,1.7071276,1.4030051,1.6010729
9,81,31,27,90,63,45,1.3029425,1.2010361,0.9010172,2.9041816,1.5040163,2.4011392
10,100,45,46,103,70,50,1.8019382,1.5011009,1.8020732,2.9020704,1.9050732,2.4001195
